Squad,Casa,Fuori
Napoli,39,44
Juventus,42,27
Inter,39,27
Lazio,34,31
Milan,37,24
Roma,32,27
Atalanta,27,31
Fiorentina,30,19
Monza,26,23
Torino,21,28
Bologna,29,18
Udinese,27,19
Sassuolo,28,16
Empoli,25,14
Salernitana,24,14
Lecce,16,16
Spezia,20,10
Hellas Verona,20,10
Cremonese,13,11
Sampdoria,9,9
