Squad,Casa,Fuori
Napoli,45,45
Juventus,42,30
Inter,42,30
Lazio,37,37
Milan,43,27
Roma,36,27
Atalanta,33,31
Fiorentina,33,23
Monza,26,26
Torino,22,31
Bologna,30,24
Udinese,27,19
Sassuolo,28,17
Empoli,28,15
Salernitana,27,15
Lecce,17,19
Spezia,20,11
Hellas Verona,21,10
Cremonese,16,11
Sampdoria,10,9
