,team_id,Team,SP,OP
0,9875,Napoli,17,41
1,8543,Lazio,5,42
2,9885,Juventus,17,26
3,8636,Inter,10,39
4,8524,Atalanta,9,38
5,8564,Milan,6,36
6,8686,Roma,11,25
7,8535,Fiorentina,10,26
8,9857,Bologna,6,26
9,6504,Monza,6,28
10,9804,Torino,6,28
11,7943,Sassuolo,6,24
12,8600,Udinese,9,28
13,6480,Salernitana,6,29
14,8534,Empoli,6,19
15,9888,Lecce,6,15
16,9876,Hellas Verona,7,16
17,9881,Spezia,3,17
18,7801,Cremonese,5,21
19,9882,Sampdoria,4,14
