,team_id,Team,dr_att,dr_compl,perc_dr_compl
0,9875,Napoli,         
1,8543,Lazio,           
2,9885,Juventus,        
3,8636,Inter,           
4,8524,Atalanta,            
5,8564,Milan,           
6,8686,Roma,            
7,8535,Fiorentina,      
8,9857,Bologna,             
9,6504,Monza,           
10,9804,Torino,         
11,7943,Sassuolo,           
12,8600,Udinese,            
13,6480,Salernitana,            
14,8534,Empoli,             
15,9888,Lecce,              
16,9876,Hellas Verona,          
17,9881,Spezia,         
18,7801,Cremonese,          
19,9882,Sampdoria,
