,Player,Nation,Pos,Squad,90s,Att,Succ,Succ%,NoCol,player_id
358,Nikola Moro,hr CRO,MF,Bologna,12.3,2.03,1.38,68.0,ff579c7e
359,Dany Mota,pt POR,FWMF,Monza,19.9,3.37,1.51,44.8,efc9e31f,737339
360,João Moutinho,pt POR,DFFW,Spezia,0.6,0.00,0.00,,a0aee24e
361,Mert Müldür,tr TUR,DF,Sassuolo,0.1,0.00,0.00,,1295552e
362,Luis Muriel,co COL,FWMF,Atalanta,11.6,6.03,2.93,48.6,eb2fe5b6
363,Jeison Murillo,co COL,DF,Sampdoria,11.5,0.35,0.17,50.0,b233e8e4
364,Nicola Murru,it ITA,DF,Sampdoria,7.2,0.14,0.00,0.0,d183e9d6
365,Juan Musso,ar ARG,GK,Atalanta,23.1,0.00,0.00,,a111cf41
366,Joakim Mæhle,dk DEN,DFMF,Atalanta,22.6,2.26,0.80,35.3,c459a650
367,Herculano Nabian,pt POR,MF,Empoli,0.0,1,0,0.0,c39babc1
368,Michel Ndary Adopo,fr FRA,MFDF,Torino,2.9,2.07,1.03,50.0,599d91d0
369,Tanguy Ndombele,fr FRA,MF,Napoli,9.0,4.11,2.11,51.4,5cdddffa
370,Ilija Nestorovski,mk MKD,FW,Udinese,6.2,0.81,0.48,60.0,b1236c63
371,Cyril Ngonge,be BEL,MFFW,Hellas Verona,6.5,4.62,1.38,30.0,2b8360f1
372,Hans Nicolussi Caviglia,it ITA,MF,Salernitana,6.0,1.17,0.67,57.1,b136c945
373,Dimitris Nikolaou,gr GRE,DF,Spezia,30.9,0.45,0.32,71.4,cf961d8d
374,Bram Nuytinck,nl NED,DF,Udinese,4.3,0.23,0.23,100.0,e33f36d5
375,Bram Nuytinck,nl NED,DF,Sampdoria,16.1,0.06,0.00,0.0,e33f36d5
376,M'Bala Nzola,ao ANG,FW,Spezia,27.5,2.73,1.05,38.7,a4948e67
377,Pedro Obiang,gq EQG,MF,Sassuolo,8.7,0.80,0.34,42.9,ba1e04b3
378,Guillermo Ochoa,mx MEX,GK,Salernitana,19.0,0.00,0.00,,1e9bde92
379,Marios Oikonomou,gr GRE,DF,Sampdoria,1.7,0.00,0.00,,3b9858f5
380,David Okereke,ng NGA,FWMF,Cremonese,24.7,3.24,1.54,47.5,d125f22f
381,Caleb Okoli,it ITA,DF,Atalanta,10.3,0.10,0.00,0.0,8ec109e6
382,Mathías Olivera,uy URU,DF,Napoli,17.3,1.68,0.52,31.0,41c12f75
383,André Onana,cm CMR,GK,Inter,23.0,0.00,0.00,,e9c0c1b2
384,Divock Origi,be BEL,FW,Milan,11.3,2.83,1.24,43.8,43a166b4
385,Riccardo Orsolini,it ITA,FW,Bologna,22.9,3.67,1.40,38.1,e14ec482,661761
386,Victor Osimhen,ng NGA,FW,Napoli,27.0,2.78,0.93,33.3,8c90fd7a
387,Remi Oudin,fr FRA,FWMF,Lecce,12.9,1.55,0.70,45.0,ea02beaf
388,Adam Ounas,dz ALG,FW,Napoli,0.2,10.0,10.0,100.0,ed90babd
